Round,ClientIndex,ExecTimeSec
103,0,2.006684
103,1,4.817636
103,2,3.331239
104,0,4.604972
104,1,1.882752
104,2,3.235160
105,0,5.307734
105,1,3.835561
105,2,2.355432
106,0,1.759080
106,1,4.777827
106,2,3.286983
107,0,3.553236
107,1,2.069823
107,2,5.097190
108,0,4.591578
108,1,3.217034
108,2,1.858626
109,0,1.575534
109,1,3.018143
109,2,4.433520
110,0,4.587469
110,1,1.936866
110,2,3.238087
111,0,5.019513
111,1,1.968833
111,2,3.428685
112,0,1.888677
112,1,4.810235
112,2,3.352380
113,0,5.048954
113,1,3.697995
113,2,2.307547
114,0,4.769942
114,1,1.934355
114,2,3.284568
115,0,2.396747
115,1,3.909332
115,2,5.225303
116,0,1.559276
116,1,2.913889
116,2,4.274136
117,0,3.711093
117,1,2.180183
117,2,5.141570
118,0,2.525421
118,1,3.873102
118,2,5.287140
119,0,4.365208
119,1,1.631691
119,2,3.037746
120,0,2.152014
120,1,4.897736
120,2,3.539396
121,0,4.988816
121,1,3.553333
121,2,2.239064
122,0,2.138774
122,1,3.536211
122,2,4.873015
123,0,1.609523
123,1,4.366546
123,2,2.999308
124,0,1.582932
124,1,3.214594
124,2,4.591493
125,0,2.202038
125,1,3.529954
125,2,4.980716
126,0,1.588670
126,1,4.419320
126,2,3.049965
127,0,3.155798
127,1,4.813973
127,2,1.687249
128,0,1.846554
128,1,3.171422
128,2,4.580181
129,0,3.764396
129,1,2.259244
129,2,5.182551
130,0,3.360623
130,1,1.935488
130,2,4.815243
131,0,1.531735
131,1,4.253836
131,2,2.902852
132,0,5.073509
132,1,3.753276
132,2,2.163287
133,0,4.998378
133,1,3.637925
133,2,2.202547
134,0,3.606623
134,1,5.056329
134,2,2.278500
135,0,4.617778
135,1,3.222353
135,2,1.851302
136,0,2.947619
136,1,1.570325
136,2,4.366963
137,0,3.185579
137,1,1.767717
137,2,4.541756
138,0,2.157427
138,1,4.994617
138,2,3.508142
139,0,2.274399
139,1,5.300173
139,2,3.937192
140,0,3.519088
140,1,4.860753
140,2,2.117088
141,0,1.936832
141,1,3.278613
141,2,4.669722
142,0,3.393120
142,1,2.056430
142,2,4.762104
143,0,4.532649
143,1,3.182405
143,2,5.869425
144,0,4.647086
144,1,3.284585
144,2,1.957139
145,0,5.470175
145,1,4.005515
145,2,2.682543
146,0,1.595501
146,1,4.672266
146,2,3.236486
147,0,3.628067
147,1,2.247856
147,2,5.140429
148,0,3.640985
148,1,5.064756
148,2,2.110332
149,0,3.579369
149,1,5.142422
149,2,2.135680
150,0,3.311812
150,1,1.917685
150,2,4.748824
151,0,3.047207
151,1,1.561147
151,2,4.409050
152,0,2.844732
152,1,4.173171
152,2,1.497631
153,0,3.066983
153,1,1.721560
153,2,4.586282
154,0,1.779809
154,1,4.567562
154,2,3.155281
155,0,1.926065
155,1,4.799268
155,2,3.348306
156,0,4.511339
156,1,1.681644
156,2,3.069268
157,0,4.727855
157,1,3.290165
157,2,1.925686
158,0,1.813810
158,1,3.609520
158,2,5.070353
159,0,1.897102
159,1,3.223096
159,2,4.663021
160,0,3.243923
160,1,1.757078
160,2,4.781677
161,0,4.394256
161,1,5.850299
161,2,2.671928
162,0,2.103197
162,1,3.667116
162,2,5.265093
163,0,3.163945
163,1,4.540557
163,2,1.779048
164,0,4.626079
164,1,1.851663
164,2,3.270718
165,0,4.278694
165,1,2.910165
165,2,1.501039
166,0,1.546840
166,1,4.333507
166,2,2.928340
167,0,5.296403
167,1,3.968156
167,2,2.592617
168,0,2.316014
168,1,3.655882
168,2,4.983814
169,0,3.733344
169,1,2.362313
169,2,5.143814
170,0,2.776857
170,1,1.410275
170,2,4.140752
171,0,4.325198
171,1,1.653973
171,2,2.971285
172,0,5.467162
172,1,2.643972
172,2,4.002708
173,0,1.439432
173,1,2.850542
173,2,4.179787
174,0,4.786784
174,1,2.120521
174,2,3.461848
175,0,1.898336
175,1,4.593559
175,2,3.266879
176,0,4.164872
176,1,2.768753
176,2,1.417166
177,0,3.246405
177,1,1.917215
177,2,4.854826
178,0,4.686291
178,1,1.845482
178,2,3.222444
179,0,4.512159
179,1,3.055292
179,2,1.603837
180,0,4.153941
180,1,2.653364
180,2,1.351904
181,0,2.906271
181,1,1.535271
181,2,4.211053
182,0,2.356575
182,1,5.053116
182,2,3.692479
183,0,4.371102
183,1,1.443576
183,2,2.937046
184,0,2.754966
184,1,1.413240
184,2,4.217400
185,0,2.786986
185,1,4.150749
185,2,1.467330
186,0,1.410023
186,1,2.741580
186,2,4.100187
187,0,4.951269
187,1,3.557993
187,2,2.213826
188,0,4.524419
188,1,1.643790
188,2,3.134451
189,0,4.607776
189,1,1.832422
189,2,3.233155
190,0,5.098635
190,1,2.098248
190,2,3.745868
191,0,4.384312
191,1,3.046407
191,2,1.684929
192,0,1.632756
192,1,3.013840
192,2,4.397038
193,0,3.651228
193,1,2.182627
193,2,5.072697
194,0,4.798953
194,1,2.116273
194,2,3.455770
195,0,3.037818
195,1,1.662108
195,2,4.419841
196,0,2.475018
196,1,3.843971
196,2,5.228409
197,0,2.685286
197,1,4.103605
197,2,5.612121
198,0,4.944712
198,1,2.093308
198,2,3.457174
199,0,4.523984
199,1,3.028403
199,2,1.681791
