Round,NumSelected,DownBytes,UpBytes,TotalBytes,CumulativeBytes
186,3,42408,42408,84816,15860592
187,3,42408,42408,84816,15945408
188,3,42408,42408,84816,16030224
189,3,42408,42408,84816,16115040
190,3,42408,42408,84816,16199856
191,3,42408,42408,84816,16284672
192,3,42408,42408,84816,16369488
193,3,42408,42408,84816,16454304
194,3,42408,42408,84816,16539120
195,3,42408,42408,84816,16623936
196,3,42408,42408,84816,16708752
197,3,42408,42408,84816,16793568
198,3,42408,42408,84816,16878384
199,3,42408,42408,84816,16963200
