AggStep,DurationSeconds
651,37.029058
652,63.610777
653,36.974298
654,62.205873
655,37.005733
656,60.676099
657,37.031741
658,63.378064
659,37.165984
660,62.190225
661,37.035539
662,59.286381
663,36.899264
664,63.705686
665,36.992080
666,64.016845
667,37.057464
668,60.242456
669,37.026909
670,61.839092
671,37.001255
672,63.608325
673,37.006186
674,62.079633
675,36.931900
676,60.800460
677,36.972142
678,63.406013
679,36.865434
680,62.194132
681,37.060328
682,59.615741
683,36.949846
684,63.809757
685,37.048591
686,63.869981
687,36.866143
688,60.144325
689,37.002709
690,61.814229
691,36.953923
692,63.644104
693,37.113568
694,62.273879
695,37.068877
696,60.671904
697,36.953839
698,63.352856
699,36.976704
700,62.277270
701,36.930418
702,59.491374
703,37.005026
704,63.657501
705,37.060547
706,63.951653
707,36.934790
708,60.126399
709,36.988471
710,61.745634
711,36.760180
712,63.237100
713,36.714317
714,62.108986
715,36.813793
716,60.731548
717,37.025564
718,63.432610
719,36.982552
720,62.366238
721,37.021487
722,59.596073
723,36.858642
724,63.675388
725,36.987691
726,63.988333
727,36.954216
728,60.186244
729,37.047994
730,61.862821
731,36.983322
732,63.321337
733,36.802727
734,61.989401
735,37.000760
736,60.654526
737,36.979402
738,63.478090
739,37.026211
740,62.628192
741,37.092333
742,59.678982
743,37.048083
744,63.879385
745,37.119906
746,64.094194
747,37.003920
748,60.134957
749,37.013982
750,61.728597
751,36.814138
752,63.225970
753,36.745996
754,61.798897
755,36.833795
756,60.744002
757,37.014613
758,63.364100
759,36.791772
760,62.141235
761,37.058299
762,59.650507
763,36.986277
764,63.616088
765,36.918866
766,63.856432
767,36.984964
768,60.311131
769,37.088426
770,61.822654
771,36.922265
772,63.590245
773,37.010278
774,62.204652
775,37.029531
776,60.872076
777,36.982413
778,63.325009
779,36.936933
780,61.944007
781,36.794657
782,59.332956
783,36.832161
784,63.570154
785,37.016319
786,63.956596
787,37.048000
788,60.268308
789,37.048932
790,61.961538
791,37.149079
792,63.613398
793,37.012520
794,62.173236
795,36.859498
796,60.738706
797,37.011782
798,63.353778
799,36.941700
800,62.355353
801,36.934772
802,59.442116
803,36.792571
804,63.414029
805,36.800378
806,63.886026
807,36.962108
808,60.164292
809,36.962397
810,61.795733
811,37.147257
812,63.595666
813,37.055855
814,62.112149
815,36.962461
816,60.793467
817,36.945790
818,63.115242
819,36.762315
820,61.975830
821,36.823634
822,59.693967
823,36.955542
824,63.690908
825,36.939209
826,63.899666
827,37.009903
828,60.283062
829,37.010642
830,61.912397
831,36.910203
832,63.701937
833,37.017358
834,62.236175
835,36.890380
836,60.905935
837,37.087498
838,63.420376
839,37.051898
840,62.478609
841,37.013445
842,59.770343
843,37.030020
844,63.551071
845,37.067852
846,64.493931
847,37.182846
848,60.417351
849,37.137807
850,62.046606
851,37.064411
852,63.686516
853,37.018533
854,62.264957
855,37.004491
856,60.322304
857,36.773894
858,63.168746
859,36.962541
860,62.510065
861,37.115635
862,59.855652
863,37.136121
864,63.893581
865,37.091453
866,63.969275
867,36.999394
868,59.866347
869,36.854503
870,61.766261
871,37.126439
872,63.796601
873,37.082880
874,62.473669
875,37.168784
876,60.962990
877,37.014821
878,63.310556
879,36.974596
880,62.256322
881,36.871833
882,59.608929
883,36.926126
884,63.812214
885,37.060745
886,64.130355
887,37.204959
888,60.227479
889,37.101887
890,62.074334
891,37.128044
892,63.500746
893,37.133583
894,62.323091
895,37.147259
896,60.870868
897,37.126800
898,63.578171
899,37.043159
900,62.556320
901,37.133758
902,59.937435
903,37.201416
904,63.926284
905,37.303768
906,64.593776
907,37.214413
908,60.309116
909,37.194345
910,62.030586
911,37.077656
912,63.755054
913,37.157155
914,62.388093
915,37.174557
916,61.003167
917,37.048161
918,63.264808
919,37.061532
920,62.634233
921,37.128089
922,59.862282
923,37.075543
924,63.890717
925,37.106132
926,64.149227
927,36.912736
928,60.029895
929,36.867763
930,61.529277
931,36.882851
932,63.741391
933,37.046060
934,62.274819
935,37.096049
936,61.013406
937,37.161839
938,63.666622
939,37.168600
940,62.426360
941,37.079881
942,59.787331
943,37.041656
944,63.781931
945,37.114365
946,64.225257
947,37.046053
948,60.261920
949,37.040569
950,61.881308
951,37.141553
952,63.772740
953,37.136123
954,62.359775
955,37.122940
956,60.745555
957,37.259512
958,63.896359
959,37.166636
960,62.621888
961,37.214199
962,59.871902
963,37.158297
964,63.927180
965,37.053503
966,64.184751
967,37.226417
968,60.434348
969,37.147858
970,62.089185
971,37.060733
972,63.680818
973,36.938674
974,62.137219
975,37.024841
976,60.596155
977,36.834815
978,63.062985
979,36.970686
980,62.574615
981,37.255079
982,59.857016
983,37.113718
984,63.860011
985,37.067122
986,64.117104
987,37.339847
988,60.223238
989,37.047132
990,62.006617
991,37.101473
992,63.669195
993,36.955040
994,62.191136
995,37.012705
996,60.874644
997,37.146634
998,63.557080
999,37.090634
