AggStep,ClientIndex,ExecutionTimeSeconds
0,4,4.873042
0,9,2.850098
0,2,3.390576
0,6,2.895029
0,1,3.219640
0,3,3.627709
0,0,2.530442
0,7,5.080274
1,5,5.182508
1,8,3.625528
1,4,4.504620
1,9,2.757877
1,2,3.384649
1,6,2.901178
1,1,3.177787
1,3,3.563529
2,0,2.508674
2,7,5.036956
2,5,4.694469
2,8,3.604457
2,4,4.510224
2,9,2.743006
2,2,3.371400
2,6,2.882683
3,1,3.197386
3,3,3.605716
3,0,2.522424
3,7,5.068300
3,5,4.704582
3,8,3.611380
3,4,4.513511
3,9,2.758186
4,2,3.373212
4,6,2.879123
4,1,3.175305
4,3,3.581400
4,0,2.525445
4,7,5.038267
4,5,4.708975
4,8,3.609083
5,4,4.489425
5,9,2.727702
5,2,3.356988
5,6,2.876455
5,1,3.178055
5,3,3.567176
5,0,2.517278
5,7,5.071048
6,5,4.707916
6,8,3.613978
6,4,4.521053
6,9,2.754820
6,2,3.363147
6,6,2.876784
6,1,3.174754
6,3,3.582391
7,0,2.520465
7,7,5.093562
7,5,4.715153
7,8,3.618828
7,4,4.502747
7,9,2.734365
7,2,3.353014
7,6,2.865801
8,1,3.177851
8,3,3.574490
8,0,2.531228
8,7,5.090640
8,5,4.740194
8,8,3.616438
8,4,4.504102
8,9,2.743115
9,2,3.367811
9,6,2.875680
9,1,3.184578
9,3,3.590606
9,0,2.537338
9,7,5.099995
9,5,4.726107
9,8,3.614047
10,4,4.514755
10,9,2.741745
10,2,3.362994
10,6,2.871459
10,1,3.165458
10,3,3.562005
10,0,2.519763
10,7,5.069107
11,5,4.721463
11,8,3.644624
11,4,4.530293
11,9,2.756182
11,2,3.380326
11,6,2.897086
11,1,3.187631
11,3,3.574195
12,0,2.523341
12,7,5.053698
12,5,4.687221
12,8,3.609196
12,4,4.521002
12,9,2.757542
12,2,3.378797
12,6,2.894198
13,1,3.195273
13,3,3.587726
13,0,2.529157
13,7,5.060058
13,5,4.694313
13,8,3.615767
13,4,4.522849
13,9,2.748305
14,2,3.403126
14,6,2.893419
14,1,3.185166
14,3,3.586765
14,0,2.537042
14,7,5.099578
14,5,4.710837
14,8,3.607404
15,4,4.511123
15,9,2.748123
15,2,3.362931
15,6,2.876154
15,1,3.176379
15,3,3.580961
15,0,2.527908
15,7,5.068747
16,5,4.732945
16,8,3.625003
16,4,4.507984
16,9,2.770298
16,2,3.378438
16,6,2.874351
16,1,3.174199
16,3,3.568009
17,0,2.515907
17,7,5.053290
17,5,4.706798
17,8,3.613018
17,4,4.511753
17,9,2.753341
17,2,3.367556
17,6,2.881448
18,1,3.177723
18,3,3.568314
18,0,2.523598
18,7,5.063123
18,5,4.696438
18,8,3.622069
18,4,4.547154
18,9,2.751010
19,2,3.367344
19,6,2.882027
19,1,3.183143
19,3,3.579333
19,0,2.536173
19,7,5.069504
19,5,4.685277
19,8,3.600189
20,4,4.483495
20,9,2.727357
20,2,3.347105
20,6,2.875968
20,1,3.155645
20,3,3.549300
20,0,2.507870
20,7,5.041790
21,5,4.683165
21,8,3.600276
21,4,4.459316
21,9,2.713845
21,2,3.344154
21,6,2.860367
21,1,3.161638
21,3,3.545775
22,0,2.517197
22,7,5.044851
22,5,4.676437
22,8,3.582674
22,4,4.462329
22,9,2.723603
22,2,3.336736
22,6,2.856784
23,1,3.154248
23,3,3.545805
23,0,2.520421
23,7,5.037134
23,5,4.741811
23,8,3.592736
23,4,4.508518
23,9,2.749289
24,2,3.352626
24,6,2.877236
24,1,3.173105
24,3,3.554860
24,0,2.517352
24,7,5.056865
24,5,4.697138
24,8,3.608162
25,4,4.545423
25,9,2.749758
25,2,3.351807
25,6,2.872020
25,1,3.183319
25,3,3.564002
25,0,2.520773
25,7,5.075432
26,5,4.686816
26,8,3.614672
26,4,4.498878
26,9,2.764079
26,2,3.380879
26,6,2.891770
26,1,3.207517
26,3,3.590727
27,0,2.539870
27,7,5.095283
27,5,4.711969
27,8,3.621100
27,4,4.504710
27,9,2.750550
27,2,3.366982
27,6,2.891877
28,1,3.194454
28,3,3.585295
28,0,2.540826
28,7,5.117565
28,5,4.751121
28,8,3.621073
28,4,4.512151
28,9,2.749008
29,2,3.371032
29,6,2.871727
29,1,3.175524
29,3,3.583258
29,0,2.562793
29,7,5.107584
29,5,4.741071
29,8,3.633515
30,4,4.526417
30,9,2.733713
30,2,3.347901
30,6,2.869936
30,1,3.172834
30,3,3.568110
30,0,2.532201
30,7,5.132486
31,5,4.731940
31,8,3.618628
31,4,4.530720
31,9,2.759804
31,2,3.375902
31,6,2.883870
31,1,3.183178
31,3,3.582636
32,0,2.526728
32,7,5.075884
32,5,4.714446
32,8,3.653193
32,4,4.543075
32,9,2.757034
32,2,3.389422
32,6,2.909099
33,1,3.192150
33,3,3.568650
33,0,2.528747
33,7,5.107515
33,5,4.725432
33,8,3.635332
33,4,4.531719
33,9,2.746999
34,2,3.358958
34,6,2.876739
34,1,3.181709
34,3,3.574362
34,0,2.526077
34,7,5.070050
34,5,4.697582
34,8,3.596972
35,4,4.482001
35,9,2.756748
35,2,3.371157
35,6,2.878555
35,1,3.184155
35,3,3.559183
35,0,2.509694
35,7,5.044063
36,5,4.707235
36,8,3.594134
36,4,4.516154
36,9,2.739516
36,2,3.357054
36,6,2.869343
36,1,3.311447
36,3,3.656272
37,0,2.523446
37,7,5.046730
37,5,4.690931
37,8,3.594554
37,4,4.493254
37,9,2.744713
37,2,3.360683
37,6,2.867470
38,1,3.180404
38,3,3.564095
38,0,2.534958
38,7,5.063812
38,5,4.679846
38,8,3.601423
38,4,4.472382
38,9,2.730805
39,2,3.345740
39,6,2.866063
39,1,3.163701
39,3,3.562426
39,0,2.506372
39,7,5.036484
39,5,4.672498
39,8,3.586715
40,4,4.564874
40,9,2.737873
40,2,3.351671
40,6,2.878569
40,1,3.170359
40,3,3.558840
40,0,2.506354
40,7,5.049423
41,5,4.701063
41,8,3.610181
41,4,4.503316
41,9,2.749792
41,2,3.372813
41,6,2.879513
41,1,3.173626
41,3,3.582931
42,0,2.524229
42,7,5.091468
42,5,4.721431
42,8,3.621170
42,4,4.511178
42,9,2.751683
42,2,3.364366
42,6,2.883347
43,1,3.184522
43,3,3.571706
43,0,2.535647
43,7,5.100219
43,5,4.735505
43,8,3.614618
43,4,4.515320
43,9,2.751964
44,2,3.382566
44,6,2.877051
44,1,3.179253
44,3,3.567424
44,0,2.534894
44,7,5.088491
44,5,4.724523
44,8,3.612300
45,4,4.501402
45,9,2.750730
45,2,3.379105
45,6,2.892034
45,1,3.183028
45,3,3.585810
45,0,2.525754
45,7,5.074420
46,5,4.717936
46,8,3.611203
46,4,4.505026
46,9,2.751073
46,2,3.374542
46,6,2.884185
46,1,3.197343
46,3,3.584439
47,0,2.526191
47,7,5.073564
47,5,4.748287
47,8,3.619444
47,4,4.508797
47,9,2.747371
47,2,3.378097
47,6,2.883778
48,1,3.182149
48,3,3.577010
48,0,2.526313
48,7,5.074354
48,5,4.724068
48,8,3.633252
48,4,4.516487
48,9,2.760118
49,2,3.380624
49,6,2.882175
49,1,3.196763
49,3,3.577059
49,0,2.527716
49,7,5.078988
49,5,4.735001
49,8,3.630121
50,4,4.538129
50,9,2.764606
50,2,3.370368
50,6,2.874576
50,1,3.186502
50,3,3.563259
50,0,2.514716
50,7,5.058423
51,5,4.698058
51,8,3.605147
51,4,4.544886
51,9,2.759975
51,2,3.370231
51,6,2.871500
51,1,3.171822
51,3,3.562378
52,0,2.521709
52,7,5.061006
52,5,4.706277
52,8,3.601267
52,4,4.488478
52,9,2.727350
52,2,3.353770
52,6,2.855192
53,1,3.155253
53,3,3.549475
53,0,2.504538
53,7,5.031592
53,5,4.726470
53,8,3.611657
53,4,4.493628
53,9,2.733976
54,2,3.351413
54,6,2.875068
54,1,3.181699
54,3,3.564137
54,0,2.521513
54,7,5.070202
54,5,4.705691
54,8,3.607110
55,4,4.496754
55,9,2.749006
55,2,3.386702
55,6,2.880303
55,1,3.188529
55,3,3.586569
55,0,2.522051
55,7,5.055163
56,5,4.680881
56,8,3.632032
56,4,4.488549
56,9,2.733306
56,2,3.382341
56,6,2.865086
56,1,3.165288
56,3,3.573398
57,0,2.517597
57,7,5.105160
57,5,4.687347
57,8,3.604960
57,4,4.541276
57,9,2.759399
57,2,3.346907
57,6,2.857781
58,1,3.156558
58,3,3.582373
58,0,2.514423
58,7,5.048346
58,5,4.700213
58,8,3.633659
58,4,4.494050
58,9,2.734619
59,2,3.384184
59,6,2.928418
59,1,3.174742
59,3,3.553939
59,0,2.507545
59,7,5.058376
59,5,4.680302
59,8,3.600015
60,4,4.553412
60,9,2.769253
60,2,3.363332
60,6,2.875789
60,1,3.159770
60,3,3.559392
60,0,2.505473
60,7,5.020448
61,5,4.661212
61,8,3.585860
61,4,4.469513
61,9,2.721635
61,2,3.362905
61,6,2.858601
