AggStep,ClientIndex,ExecutionTimeSeconds
61,1,3.158864
61,3,3.542675
62,0,2.528012
62,7,5.033938
62,5,4.670415
62,8,3.620075
62,4,4.483761
62,9,2.726441
62,2,3.348885
62,6,2.904467
63,1,3.158482
63,3,3.547559
63,0,2.544083
63,7,5.036376
63,5,4.678038
63,8,3.596240
63,4,4.486813
63,9,2.719123
64,2,3.333748
64,6,2.870906
64,1,3.170059
64,3,3.539750
64,0,2.508248
64,7,5.057095
64,5,4.676587
64,8,3.577808
65,4,4.450109
65,9,2.712955
65,2,3.322602
65,6,2.853000
65,1,3.184732
65,3,3.562143
65,0,2.510890
65,7,5.070632
66,5,4.694348
66,8,3.588788
66,4,4.473359
66,9,2.745989
66,2,3.345002
66,6,2.874978
66,1,3.193251
66,3,3.578288
67,0,2.517577
67,7,5.064463
67,5,4.688085
67,8,3.573959
67,4,4.454515
67,9,2.724330
67,2,3.333481
67,6,2.856291
68,1,3.171303
68,3,3.548512
68,0,2.502348
68,7,5.034328
68,5,4.668167
68,8,3.562401
68,4,4.442289
68,9,2.721390
69,2,3.331560
69,6,2.853262
69,1,3.169094
69,3,3.535728
69,0,2.501049
69,7,5.059875
69,5,4.684330
69,8,3.564785
70,4,4.484877
70,9,2.726090
70,2,3.326797
70,6,2.853484
70,1,3.170405
70,3,3.561297
70,0,2.494242
70,7,5.013020
71,5,4.652986
71,8,3.561860
71,4,4.433945
71,9,2.706342
71,2,3.325601
71,6,2.844704
71,1,3.148611
71,3,3.549993
72,0,2.522151
72,7,5.004175
72,5,4.661347
72,8,3.577509
72,4,4.440225
72,9,2.704650
72,2,3.345726
72,6,2.872842
73,1,3.147078
73,3,3.544585
73,0,2.529429
73,7,5.043526
73,5,4.667717
73,8,3.633382
73,4,4.464030
73,9,2.727124
74,2,3.355395
74,6,2.849771
74,1,3.142789
74,3,3.534792
74,0,2.519585
74,7,5.022333
74,5,4.665323
74,8,3.579038
75,4,4.466375
75,9,2.724384
75,2,3.359208
75,6,2.855956
75,1,3.166434
75,3,3.545095
75,0,2.522253
75,7,5.069443
76,5,4.676912
76,8,3.613699
76,4,4.529514
76,9,2.729888
76,2,3.345901
76,6,2.861276
76,1,3.174160
76,3,3.557311
77,0,2.515568
77,7,5.033896
77,5,4.700550
77,8,3.580921
77,4,4.472974
77,9,2.733243
77,2,3.357228
77,6,2.857594
78,1,3.159257
78,3,3.546156
78,0,2.517820
78,7,5.026916
78,5,4.658260
78,8,3.638980
78,4,4.484914
78,9,2.743859
79,2,3.352973
79,6,2.890254
79,1,3.173925
79,3,3.547652
79,0,2.501694
79,7,5.055258
79,5,4.679711
79,8,3.584161
80,4,4.506534
80,9,2.733668
80,2,3.350293
80,6,2.876082
80,1,3.179533
80,3,3.563322
80,0,2.496771
80,7,5.007555
81,5,4.652310
81,8,3.573145
81,4,4.467189
81,9,2.715666
81,2,3.355762
81,6,2.869451
81,1,3.159072
81,3,3.548054
82,0,2.516153
82,7,5.082592
82,5,4.693925
82,8,3.586128
82,4,4.528090
82,9,2.735132
82,2,3.347135
82,6,2.867794
83,1,3.170559
83,3,3.588711
83,0,2.505599
83,7,5.034867
83,5,4.723742
83,8,3.615939
83,4,4.491091
83,9,2.733086
84,2,3.359733
84,6,2.869210
84,1,3.148181
84,3,3.543073
84,0,2.502739
84,7,5.048365
84,5,4.678791
84,8,3.595439
85,4,4.552020
85,9,2.746722
85,2,3.357740
85,6,2.878608
85,1,3.181249
85,3,3.581591
85,0,2.510166
85,7,5.052751
86,5,4.702481
86,8,3.592606
86,4,4.483294
86,9,2.745238
86,2,3.362573
86,6,2.862748
86,1,3.155442
86,3,3.566717
87,0,2.511732
87,7,5.026333
87,5,4.691055
87,8,3.598098
87,4,4.486351
87,9,2.752407
87,2,3.383076
87,6,2.867021
88,1,3.170232
88,3,3.573086
88,0,2.534629
88,7,5.045992
88,5,4.683979
88,8,3.603601
88,4,4.489829
88,9,2.728346
89,2,3.343843
89,6,2.866321
89,1,3.184559
89,3,3.558242
89,0,2.505776
89,7,5.037656
89,5,4.691799
89,8,3.570873
90,4,4.446807
90,9,2.729949
90,2,3.406736
90,6,2.867902
90,1,3.167261
90,3,3.564998
90,0,2.522652
90,7,5.047785
91,5,4.670022
91,8,3.587371
91,4,4.495248
91,9,2.729463
91,2,3.345664
91,6,2.849623
91,1,3.176228
91,3,3.548458
92,0,2.508120
92,7,5.038011
92,5,4.702294
92,8,3.614161
92,4,4.488930
92,9,2.746702
92,2,3.363476
92,6,2.873604
93,1,3.166034
93,3,3.547119
93,0,2.502444
93,7,5.094645
93,5,4.686372
93,8,3.580195
93,4,4.513350
93,9,2.743006
94,2,3.354983
94,6,2.851979
94,1,3.146392
94,3,3.567823
94,0,2.516070
94,7,5.025999
94,5,4.672162
94,8,3.635991
95,4,4.484873
95,9,2.729468
95,2,3.369388
95,6,2.886204
95,1,3.174464
95,3,3.540499
95,0,2.508969
95,7,5.147722
96,5,4.893340
96,8,3.596625
96,4,4.490777
96,9,2.762600
96,2,3.338786
96,6,2.853239
96,1,3.154904
96,3,3.547764
97,0,2.504364
97,7,5.037528
97,5,4.677906
97,8,3.600695
97,4,4.470163
97,9,2.719588
97,2,3.372169
97,6,2.866003
98,1,3.157065
98,3,3.544746
98,0,2.510555
98,7,5.052576
98,5,4.670652
98,8,3.574288
98,4,4.461715
98,9,2.725931
99,2,3.327310
99,6,2.865937
99,1,3.161834
99,3,3.549510
99,0,2.501766
99,7,5.018102
99,5,4.646989
99,8,3.585178
100,4,4.471572
100,9,2.705074
100,2,3.314950
100,6,2.869768
100,1,3.195764
100,3,3.552535
100,0,2.501064
100,7,5.029957
101,5,4.684261
101,8,3.556679
101,4,4.433813
101,9,2.722844
101,2,3.316796
101,6,2.839751
101,1,3.134377
101,3,3.520487
102,0,2.498108
102,7,4.995420
102,5,4.634573
102,8,3.560910
102,4,4.434365
102,9,2.704133
102,2,3.332447
102,6,2.839482
103,1,3.126618
103,3,3.522252
103,0,2.510841
103,7,5.039234
103,5,4.638862
103,8,3.558900
103,4,4.429523
103,9,2.700758
104,2,3.309068
104,6,2.845319
104,1,3.122795
104,3,3.511705
104,0,2.491561
104,7,5.009094
104,5,4.626519
104,8,3.566308
105,4,4.440477
105,9,2.706459
105,2,3.301839
105,6,2.825556
105,1,3.114769
105,3,3.507188
105,0,2.480800
105,7,5.086403
106,5,4.682799
106,8,3.589382
106,4,4.480684
106,9,2.710037
106,2,3.333333
106,6,2.865060
106,1,3.162879
106,3,3.567164
107,0,2.497919
107,7,5.040202
107,5,4.691754
107,8,3.573401
107,4,4.462221
107,9,2.721709
107,2,3.364536
107,6,2.855361
108,1,3.151444
108,3,3.540582
108,0,2.516103
108,7,5.053546
108,5,4.674431
108,8,3.597181
108,4,4.481114
108,9,2.726204
109,2,3.334820
109,6,2.861646
109,1,3.152229
109,3,3.529097
109,0,2.498196
109,7,5.012010
109,5,4.634449
109,8,3.562066
110,4,4.474888
110,9,2.721357
110,2,3.328696
110,6,2.846644
110,1,3.160128
110,3,3.525903
110,0,2.491019
110,7,4.995522
111,5,4.640785
111,8,3.563760
111,4,4.514978
111,9,2.718910
111,2,3.319777
111,6,2.843125
111,1,3.160431
111,3,3.526238
112,0,2.490299
112,7,5.007011
112,5,4.679920
112,8,3.569416
112,4,4.438014
112,9,2.721877
112,2,3.321721
112,6,2.837255
113,1,3.135963
113,3,3.504089
113,0,2.470159
113,7,4.980784
113,5,4.626757
113,8,3.561989
113,4,4.434371
113,9,2.721268
114,2,3.321759
114,6,2.847749
114,1,3.147428
114,3,3.524107
114,0,2.492294
114,7,4.996706
114,5,4.649848
114,8,3.568191
115,4,4.451340
115,9,2.715336
115,2,3.325560
115,6,2.844335
115,1,3.147756
115,3,3.531385
115,0,2.489825
115,7,5.005689
116,5,4.659384
116,8,3.581602
116,4,4.461030
116,9,2.729995
116,2,3.344179
116,6,2.862527
116,1,3.155718
116,3,3.558815
117,0,2.505511
117,7,5.025966
117,5,4.663938
117,8,3.569452
117,4,4.461293
117,9,2.713521
117,2,3.330016
117,6,2.855371
118,1,3.147390
118,3,3.539248
118,0,2.495427
118,7,5.018921
118,5,4.673681
118,8,3.578693
118,4,4.447892
118,9,2.723049
119,2,3.326267
119,6,2.841924
119,1,3.156327
119,3,3.567688
119,0,2.516893
119,7,5.062386
119,5,4.668243
119,8,3.570363
120,4,4.455468
120,9,2.713392
120,2,3.320725
120,6,2.841711
120,1,3.148760
120,3,3.573660
120,0,2.514358
120,7,5.054688
121,5,4.689174
121,8,3.601036
121,4,4.474207
121,9,2.718170
121,2,3.325149
121,6,2.838104
121,1,3.151156
121,3,3.543143
122,0,2.509336
122,7,5.037138
122,5,4.672529
122,8,3.587494
122,4,4.479390
122,9,2.724110
122,2,3.333606
122,6,2.847128
123,1,3.156085
123,3,3.525655
123,0,2.493957
123,7,5.015631
123,5,4.678070
123,8,3.589030
123,4,4.466601
123,9,2.720589
124,2,3.334606
124,6,2.845191
124,1,3.238618
124,3,3.668402
124,0,2.583838
124,7,5.177847
124,5,4.851220
124,8,3.691666
125,4,4.595789
125,9,2.785881
125,2,3.468173
125,6,2.957678
125,1,3.235922
125,3,3.653797
125,0,2.571938
125,7,5.247971
126,5,4.808306
126,8,3.707609
126,4,4.705793
126,9,2.817091
126,2,3.443125
126,6,2.938791
126,1,3.274336
126,3,3.673645
127,0,2.565992
127,7,5.150239
127,5,4.843463
127,8,3.672096
127,4,4.607396
127,9,2.833710
127,2,3.478456
127,6,2.961111
128,1,3.252008
128,3,3.681410
128,0,2.585684
128,7,5.138681
128,5,4.791354
128,8,3.731463
128,4,4.613945
128,9,2.807074
129,2,3.467569
129,6,2.928222
129,1,3.230022
129,3,3.629892
129,0,2.594702
129,7,5.211577
129,5,4.786788
129,8,3.678996
130,4,4.608183
130,9,2.803172
130,2,3.497565
130,6,2.945900
130,1,3.229281
130,3,3.631207
130,0,2.593421
130,7,5.215987
131,5,4.818347
131,8,3.693563
131,4,4.604886
131,9,2.786537
131,2,3.416396
131,6,2.944951
131,1,3.292960
131,3,3.649801
132,0,2.572643
132,7,5.152121
132,5,4.881765
132,8,3.716952
132,4,4.633034
132,9,2.807366
132,2,3.481290
132,6,2.945228
133,1,3.245639
133,3,3.688444
133,0,2.634730
133,7,5.144051
133,5,4.804442
133,8,3.718601
133,4,4.589814
133,9,2.799969
134,2,3.470948
134,6,2.942671
134,1,3.251770
134,3,3.646166
134,0,2.595990
134,7,5.203407
134,5,4.838561
134,8,3.724862
135,4,4.612899
135,9,2.798520
135,2,3.453508
135,6,2.973472
135,1,3.287286
135,3,3.644358
135,0,2.582941
135,7,5.187538
136,5,4.808574
136,8,3.739347
136,4,4.627305
136,9,2.802510
136,2,3.433234
136,6,2.983151
136,1,3.258318
136,3,3.635301
137,0,2.566334
137,7,5.219721
137,5,4.875188
137,8,3.699933
137,4,4.611024
137,9,2.845926
137,2,3.453167
137,6,2.941794
138,1,3.273708
138,3,3.682096
138,0,2.623150
138,7,5.173783
138,5,4.808331
138,8,3.709411
138,4,4.584532
138,9,2.797458
139,2,3.424807
139,6,2.942418
139,1,3.256716
139,3,3.676394
139,0,2.588249
139,7,5.277400
139,5,4.818024
139,8,3.698815
140,4,4.634174
140,9,2.799544
140,2,3.418288
140,6,2.920838
140,1,3.288991
140,3,3.660258
140,0,2.573045
140,7,5.220755
141,5,4.840225
141,8,3.690442
141,4,4.610053
141,9,2.822805
141,2,3.461730
141,6,2.914532
141,1,3.238848
141,3,3.664890
142,0,2.569438
142,7,5.205564
142,5,4.850121
142,8,3.698830
142,4,4.568963
142,9,2.771019
142,2,3.415798
142,6,2.931983
143,1,3.231068
143,3,3.637820
143,0,2.566792
143,7,5.222272
143,5,4.792107
143,8,3.656562
143,4,4.576172
143,9,2.804575
144,2,3.432033
144,6,2.921446
144,1,3.263022
144,3,3.689975
144,0,2.592142
144,7,5.172609
144,5,4.795435
144,8,3.700937
145,4,4.548236
145,9,2.781789
145,2,3.408597
145,6,2.964883
145,1,3.255885
145,3,3.627251
145,0,2.563628
145,7,5.161543
146,5,4.782624
146,8,3.659271
146,4,4.596904
146,9,2.808608
146,2,3.421096
146,6,2.927444
146,1,3.226430
146,3,3.656267
147,0,2.550295
147,7,5.142192
147,5,4.899332
147,8,3.685688
147,4,4.586013
147,9,2.814295
147,2,3.457333
147,6,2.948494
148,1,3.235204
148,3,3.697909
148,0,2.599981
148,7,5.166925
148,5,4.774414
148,8,3.661886
148,4,4.556614
148,9,2.794550
149,2,3.461499
149,6,2.964017
149,1,3.260334
149,3,3.621701
149,0,2.564143
149,7,5.159868
149,5,4.801349
149,8,3.702728
150,4,4.590653
150,9,2.803401
150,2,3.417728
150,6,2.925964
150,1,3.232160
150,3,3.682628
150,0,2.650659
150,7,5.179997
151,5,4.771033
151,8,3.674508
151,4,4.574933
151,9,2.790864
151,2,3.428237
151,6,2.907357
151,1,3.223880
151,3,3.594724
152,0,2.541729
152,7,5.123796
152,5,4.790661
152,8,3.675974
152,4,4.552729
152,9,2.800045
152,2,3.411422
152,6,2.911405
153,1,3.204760
153,3,3.664490
153,0,2.573333
153,7,5.169303
153,5,4.762667
153,8,3.648285
153,4,4.553905
153,9,2.789212
154,2,3.439804
154,6,2.921944
154,1,3.216529
154,3,3.600678
154,0,2.543673
154,7,5.128368
154,5,4.809845
154,8,3.664318
155,4,4.560376
155,9,2.814085
155,2,3.398051
155,6,2.909134
155,1,3.223855
155,3,3.729822
155,0,2.676987
155,7,5.148165
156,5,4.752218
156,8,3.666485
156,4,4.579266
156,9,2.775581
156,2,3.409413
156,6,2.926689
156,1,3.212095
156,3,3.609515
157,0,2.547158
157,7,5.101867
157,5,4.740414
157,8,3.653261
157,4,4.595031
157,9,2.797660
157,2,3.413507
157,6,2.921560
158,1,3.216173
158,3,3.693766
158,0,2.566362
158,7,5.093476
158,5,4.729002
158,8,3.618924
158,4,4.559925
158,9,2.771802
159,2,3.411944
159,6,2.918881
159,1,3.207330
159,3,3.632932
159,0,2.614732
159,7,5.122299
159,5,4.736248
159,8,3.633457
160,4,4.537106
160,9,2.769855
160,2,3.390758
160,6,2.911725
160,1,3.240485
160,3,3.632190
160,0,2.571940
160,7,5.140938
161,5,4.761968
161,8,3.664382
161,4,4.549612
161,9,2.756212
161,2,3.376015
161,6,2.892794
161,1,3.259796
161,3,3.612234
162,0,2.540804
162,7,5.097121
162,5,4.747642
162,8,3.639065
162,4,4.521751
162,9,2.752638
162,2,3.363207
162,6,2.894342
163,1,3.208807
163,3,3.603768
163,0,2.538873
163,7,5.114392
163,5,4.755940
163,8,3.627184
163,4,4.535968
163,9,2.812136
164,2,3.386724
164,6,2.891618
164,1,3.196317
164,3,3.596582
164,0,2.545719
164,7,5.122833
164,5,4.765393
164,8,3.660282
165,4,4.559909
165,9,2.761368
165,2,3.383898
165,6,2.901731
165,1,3.222806
165,3,3.603133
165,0,2.541292
165,7,5.102837
166,5,4.742150
166,8,3.634195
166,4,4.524455
166,9,2.828997
166,2,3.432691
166,6,2.896162
166,1,3.207530
166,3,3.594311
167,0,2.541472
167,7,5.083988
167,5,4.768013
167,8,3.684937
167,4,4.568496
167,9,2.766913
167,2,3.390812
167,6,2.898357
168,1,3.203203
168,3,3.627892
168,0,2.573011
168,7,5.125290
168,5,4.735622
168,8,3.634899
168,4,4.534264
168,9,2.768233
169,2,3.391587
169,6,2.924001
169,1,3.222323
169,3,3.593291
169,0,2.539300
169,7,5.085216
169,5,4.748901
169,8,3.633018
170,4,4.560021
170,9,2.791858
170,2,3.401656
170,6,2.906598
170,1,3.212955
170,3,3.658864
170,0,2.545965
170,7,5.101241
171,5,4.736571
171,8,3.632263
171,4,4.551373
171,9,2.774411
171,2,3.418881
171,6,2.892916
171,1,3.202352
171,3,3.564298
172,0,2.532291
172,7,5.103357
172,5,4.742903
172,8,3.684553
172,4,4.526762
172,9,2.762080
172,2,3.407552
172,6,2.919515
173,1,3.206315
173,3,3.592969
173,0,2.540492
173,7,5.095799
173,5,4.733399
173,8,3.673287
173,4,4.536621
173,9,2.756557
174,2,3.396877
174,6,2.906650
174,1,3.204246
174,3,3.617514
174,0,2.533454
174,7,5.106257
174,5,4.728756
174,8,3.646780
175,4,4.583946
175,9,2.776585
175,2,3.396567
175,6,2.905199
175,1,3.226507
175,3,3.682469
175,0,2.555529
175,7,5.129690
176,5,4.765566
176,8,3.662226
176,4,4.560432
176,9,2.772314
176,2,3.389345
176,6,2.871428
176,1,3.234252
176,3,3.630193
177,0,2.557725
177,7,5.133552
177,5,4.763183
177,8,3.693756
177,4,4.588395
177,9,2.780302
177,2,3.408520
177,6,2.927790
178,1,3.247872
178,3,3.637208
178,0,2.563218
178,7,5.153152
178,5,4.764611
178,8,3.644932
178,4,4.579497
178,9,2.770641
179,2,3.404086
179,6,2.937781
179,1,3.251414
179,3,3.651931
179,0,2.553723
179,7,5.123106
179,5,4.732714
179,8,3.650613
180,4,4.583344
180,9,2.779893
180,2,3.412172
180,6,2.921830
180,1,3.251941
180,3,3.653661
180,0,2.583853
180,7,5.150938
181,5,4.776927
181,8,3.652015
181,4,4.549302
181,9,2.815690
181,2,3.443122
181,6,2.917515
181,1,3.221843
181,3,3.614866
182,0,2.563233
182,7,5.090707
182,5,4.741212
182,8,3.645507
182,4,4.497949
182,9,2.734447
182,2,3.364502
182,6,2.913349
183,1,3.213009
183,3,3.596038
183,0,2.558732
183,7,5.042921
183,5,4.662395
183,8,3.574532
183,4,4.530399
183,9,2.728102
184,2,3.331834
184,6,2.848238
184,1,3.175105
184,3,3.545883
184,0,2.524214
184,7,5.071958
184,5,4.655038
184,8,3.569666
185,4,4.460423
185,9,2.732378
185,2,3.337376
185,6,2.835971
185,1,3.129523
185,3,3.523215
185,0,2.488520
185,7,5.000156
186,5,4.674549
186,8,3.577111
186,4,4.455615
186,9,2.713861
186,2,3.327822
186,6,2.845713
186,1,3.151560
186,3,3.552920
187,0,2.516882
187,7,5.042373
187,5,4.658693
187,8,3.601228
187,4,4.505989
187,9,2.733957
187,2,3.331922
187,6,2.850109
188,1,3.151447
188,3,3.537829
188,0,2.493250
188,7,5.021980
188,5,4.689352
188,8,3.590313
188,4,4.461019
188,9,2.719277
189,2,3.345819
189,6,2.874075
189,1,3.155010
189,3,3.535245
189,0,2.496417
189,7,5.021936
189,5,4.671992
189,8,3.574257
190,4,4.483456
190,9,2.727524
190,2,3.366700
190,6,2.862605
190,1,3.162448
190,3,3.542409
190,0,2.509183
190,7,5.032193
191,5,4.665615
191,8,3.572186
191,4,4.482574
191,9,2.717439
191,2,3.345779
191,6,2.857158
191,1,3.152600
191,3,3.568043
192,0,2.507263
192,7,5.050424
192,5,4.699902
192,8,3.624637
192,4,4.504336
192,9,2.733853
192,2,3.346850
192,6,2.864102
193,1,3.148603
193,3,3.556963
193,0,2.505464
193,7,5.037663
193,5,4.713353
