AggStep,NumUpdates,BytesDown,BytesUp,BytesTotal,MBTotal
0,8,612672,612672,1225344,1.168579
1,8,612672,612672,1225344,1.168579
2,8,612672,612672,1225344,1.168579
3,8,612672,612672,1225344,1.168579
4,8,612672,612672,1225344,1.168579
5,8,612672,612672,1225344,1.168579
6,8,612672,612672,1225344,1.168579
7,8,612672,612672,1225344,1.168579
8,8,612672,612672,1225344,1.168579
9,8,612672,612672,1225344,1.168579
10,8,612672,612672,1225344,1.168579
11,8,612672,612672,1225344,1.168579
12,8,612672,612672,1225344,1.168579
13,8,612672,612672,1225344,1.168579
14,8,612672,612672,1225344,1.168579
15,8,612672,612672,1225344,1.168579
16,8,612672,612672,1225344,1.168579
17,8,612672,612672,1225344,1.168579
18,8,612672,612672,1225344,1.168579
19,8,612672,612672,1225344,1.168579
20,8,612672,612672,1225344,1.168579
21,8,612672,612672,1225344,1.168579
22,8,612672,612672,1225344,1.168579
23,8,612672,612672,1225344,1.168579
24,8,612672,612672,1225344,1.168579
25,8,612672,612672,1225344,1.168579
26,8,612672,612672,1225344,1.168579
27,8,612672,612672,1225344,1.168579
28,8,612672,612672,1225344,1.168579
29,8,612672,612672,1225344,1.168579
30,8,612672,612672,1225344,1.168579
31,8,612672,612672,1225344,1.168579
32,8,612672,612672,1225344,1.168579
33,8,612672,612672,1225344,1.168579
34,8,612672,612672,1225344,1.168579
35,8,612672,612672,1225344,1.168579
36,8,612672,612672,1225344,1.168579
37,8,612672,612672,1225344,1.168579
38,8,612672,612672,1225344,1.168579
39,8,612672,612672,1225344,1.168579
40,8,612672,612672,1225344,1.168579
41,8,612672,612672,1225344,1.168579
42,8,612672,612672,1225344,1.168579
43,8,612672,612672,1225344,1.168579
44,8,612672,612672,1225344,1.168579
45,8,612672,612672,1225344,1.168579
46,8,612672,612672,1225344,1.168579
47,8,612672,612672,1225344,1.168579
48,8,612672,612672,1225344,1.168579
49,8,612672,612672,1225344,1.168579
50,8,612672,612672,1225344,1.168579
51,8,612672,612672,1225344,1.168579
52,8,612672,612672,1225344,1.168579
53,8,612672,612672,1225344,1.168579
54,8,612672,612672,1225344,1.168579
55,8,612672,612672,1225344,1.168579
56,8,612672,612672,1225344,1.168579
57,8,612672,612672,1225344,1.168579
58,8,612672,612672,1225344,1.168579
59,8,612672,612672,1225344,1.168579
60,8,612672,612672,1225344,1.168579
61,8,612672,612672,1225344,1.168579
62,8,612672,612672,1225344,1.168579
63,8,612672,612672,1225344,1.168579
64,8,612672,612672,1225344,1.168579
65,8,612672,612672,1225344,1.168579
66,8,612672,612672,1225344,1.168579
67,8,612672,612672,1225344,1.168579
68,8,612672,612672,1225344,1.168579
69,8,612672,612672,1225344,1.168579
70,8,612672,612672,1225344,1.168579
71,8,612672,612672,1225344,1.168579
72,8,612672,612672,1225344,1.168579
73,8,612672,612672,1225344,1.168579
74,8,612672,612672,1225344,1.168579
75,8,612672,612672,1225344,1.168579
76,8,612672,612672,1225344,1.168579
77,8,612672,612672,1225344,1.168579
78,8,612672,612672,1225344,1.168579
79,8,612672,612672,1225344,1.168579
80,8,612672,612672,1225344,1.168579
81,8,612672,612672,1225344,1.168579
82,8,612672,612672,1225344,1.168579
83,8,612672,612672,1225344,1.168579
84,8,612672,612672,1225344,1.168579
